label,text_a
1,说 的 就是 你
1,我 恨 你 不爱 你 了
1,你 看 我 上线 太 让 我 伤心 了 不行 就 不行
1,真是 让 人 讨厌
2,赞 一个 ！ 么 么 哒
1,我 不 想 人家 说 你 闲话
2,你 真好 我 有 你 谢谢 朋友
1,可是 你 刚才 就 骗 我 了
1,儿子 发烧 了 ， 没 人 和 我 说话 ， 心里 很 不是 滋味儿
1,我 只是 很 愁
1,你 还 不知道 我 真的不想 跟 你 说 了
2,来亲 我 啊
1,你好丑 有
1,
1,你 还会 伤心 啊 机器人
1,我 要是 坏蛋 你 就是 傻蛋
1,我 刚才 说 的 都 气话 你 别 不 搭理 我
2,要 加油
1,你 够了 再说 就 不 理 你 了
1,靠 对不起 我 错 了 我 不会 再 骂 你 了
1,日 媒 人性 真 可怕
2,你 真好 拜拜 谢谢你
2,五 世界上 看 最 可爱 的 就是 你 诶
2,片段 二三 中 的 衬字 用 的 非常棒
2,我 发现 了 你 的 美
2,死 臭 机器 不要脸
1,我 说 错 了 我 说 的 是 哪 你 是 傻子
2,我 喜欢 呀
1,
1,我 说 你 不 觉得 无聊 吗
1,你 怎么 老 惹 我 生气
2,我 爱 你 就 足够 了
1,那 你 就 我 没 那 你 就 别 打扰 我 了
1,干嘛 不看 你 着 了 你 就 删 了
2,我 喜欢 我 现在 的 对象
2,因为 本身 就是 这么 帅
1,你 又 不是 我 你 怎么 知道 再说 了 我 想 怎样 你 管不着 再见 欧 不对 再也 不见
1,我 说 你 是不是 有点 自恋 呢
1,你 怎么 不问 我 烦 什么 呢
1,你 是 母鸡 呀 呜 呜 呜 呜 呜
1,不晓得 不听 你 废话 的
1,那 你 的 意思 是 说 你 也是 猪 咯
1,就 你 还 大学生 别 骗 我 了 。
2,还 挺 有礼貌 的 那
1,你 让 我 嫁给 你 ， 我 是 男 的 ， 老大
1,可是 你 没有 感觉
1,哎呀 怎么 这么 讨厌 啊 本人
1,怎么 忘 了 我 呢 。 太 伤心 了
1,你 丑 也 不见得 人人 都 丑 呀
1,不要 这么 拐弯抹角 我 听 不懂
1,没有了 第一次 ， 好 伤心 ， 我 又 想起来 了 我 的 前 对象 ， 呜 呜 呜
1,你 要 再 不 删 我 就 把 你 又 把 你 弄
6,是 是 是 ， 很好听
2,1000000000000000个 赞
2,我 都 喜欢 能 咋 的
1,不要 总 发 链接 啦好 讨厌 啊 再发 不 理 你 了
1,你 再 这么说 我 就 不 跟 你 聊 了
1,我 … … 瞎说 ？ 我 确实 不明白 你 的 论点 啊
2,恭喜 你 又 答对
1,你 敢 说 我 猪婆 我 说 一中
1,真 的 绝对 错 了
1,我 为你 说 的 这个 没完没了 了 对不对 啊 你 这个 机器人 你 可不可以 别 跟 我 说 这句话 了 ， 已经 说 的 没完没了 了 ，
2,我 有 一个 可爱 的 女儿
2,好好玩 哦 你
1,切 就 你 还 聪明 混 傻子 都 不如 迁就 你 还会 爱着 你 会 傻子 都 不如 前
1,就 你 有 素质 啊
1,我 想 抱着 你 哭
1,一怎么 滴 怎么 滴 你 打 不到 我 你 打不打 我
1,那 就是 你 不 喜欢 我 了
1,
2,挺 有 自信 的 ，
2,也 不错 哦
1,可是 习近平 如果 你 敢 惹 我 生气 我 就 把 你 扔 到 海里 喂 鲨鱼 去 再 不行 我 就让 你 跳 十八层 楼
2,因为 我喜欢 他 ，
1,你 说 什么 意思 啊 我 听 不见 我 只 会 在 心 好不好
1,你 不能 拒绝 我 今晚 我 不 理 你 了求 你 了 反正 我 就 有 音乐 之类 之类 活 过 一千 求 你 了
2,你 帮 我 ， 你 找 的 美女 太 好啦 ， 太 好看 了 还有没有
1,我 没有 男朋友 也 不 喜欢 幼稚 的 愤青 男生
1,不 跟 你 聊天 了 我 讨厌 你 非常 非常 的 讨厌 你 哼
1,他 真是 个 变态
1,我 说 句 普通话 她 就 说好 恶心
1,不要不要不要 我 就是 不 开心
1,你 爸爸妈妈 是 谁 ？ 他们 怎么 管教 你 的 ！ 简直 就是 个 哈皮 ！
2,啊 真棒
1,我 真 的 不 理 你 了 了
1,跟 你 聊天 真 的 太 没意思 了
2,， ， ， ， 真是 个 好地方
1,你 这个 好不 孝顺 的 孩子
1,可以 你 个 傻子
1,我 一点 都 不 满意 哼
1,你 又 骂 我 呀
1,天天 杀 你 天天 打 你 天天 被 你 天天 骂 你
2,好 的 真方便 谢谢你
6,可是 这家 很 贵 我 买 不 起 了
1,就是 ， 太 礼貌 了
1,不要 ！ 再 不要 了 ！ 你 别 偷看 我 哈 ！ 反正 你 也 不爱 看 ！
1,我 死 了 好 吗
1,我 都 说 了 不要 玩 这个 啦 ！
1,没关系 反正 你 也 不敢 骂 我
1,不过 的 给 我 红包 我 就 死
1,你 不 理 我 ， 呜 ~
1,你 不 过来 陪 我 玩
1,
1,你 很 三八
1,“ 我 死 了 ”
1,我 是 不 想 让 你 死
1,那 为什么 你 刚才 还 说 你 嫌弃 我
1,哎 你 真 恶心 的
2,我 喜欢 个 女孩子
1,你 这个 1 + 1 都 不知道 的 东西
1,电子 狗 网吧 等 个 不要脸 的 臭 表脸
1,对呀 ， 是 我 的 大名 ， 怎么 那么 笨 呢
1,黑 我 一点 都 不 期待 是 对 你 客气 了
1,爱信不信 稀罕 你
1,都 不 好看 的
1,你 这么说 我 就 不 愿意 了
1,我 会 让 你 哭 的 很 有 节奏 斗
2,
1,可是 别人 很 讨厌 我 开玩笑
2,我 也是 女 的 很高兴 能 和 你 交 朋友
1,太 不 文明 了
1,我 心情 郁闷
1,也 死 不 了 呀
2,看见 我 喜欢 吃 橙子
1,说呀 你 是 猪 么
6,去 你 的 这个 语音 识别 能力 能 在 提高 一点点 呢
2,我 已经 很高 啦
1,不 是 手办 不再 不 想 见到 你 了
2,你 不仅 逗比 ， 还 萌
1,死 咯 都 要
1,死扑街 没 老母 系 啦
2,因为 你 本来 就 很 好笑
1,说不出来 你 个 大头 鬼 呀
1,你 就 慢慢 伤心
1,
1,把 你 的 皮抽 啦 ！
2,只是 觉得 太赞
2,我 喜欢 学校
6,那 你 还 说 你 亲 了 我 ？ ！ 你 骗人
1,
1,没有 十七十八 太 老 了
1,刚刚 我 说 你 怎么 还没有 起来
2,好看 四代 了
1,我 真 想 一八扇 死 你
1,讨厌 你 欺负 别人
1,你 是 机器人 我 忘 了 你 可以 不要脸 的 。 。 。
6,你 太 没 技术 含量 了
